"gene","PSOL_PASI_age_sex","ADL_pEASI_age_sex","AD_pEASI_age_sex","PSO_PASI_age_sex","Missing value count","Min"
"ENSG00000198113",,"0.0362247340485955",,,3,"0.0362247340485955"
"ENSG00000143319","0.0363006051999283",,,,3,"0.0363006051999283"
"ENSG00000034713","0.0363279326832314",,,,3,"0.0363279326832314"
"ENSG00000124571","0.0363279326832314",,,,3,"0.0363279326832314"
"ENSG00000137767","0.0363279326832314",,,,3,"0.0363279326832314"
"ENSG00000107242","0.0363370578202314",,,,3,"0.0363370578202314"
"ENSG00000138623","0.0363370578202314",,,,3,"0.0363370578202314"
"ENSG00000214745","0.0363370578202314",,,,3,"0.0363370578202314"
"ENSG00000101187",,"0.0364438931313038",,,3,"0.0364438931313038"
"ENSG00000114737",,"0.0364438931313038",,,3,"0.0364438931313038"
"ENSG00000093134","0.0365038544377052",,,,3,"0.0365038544377052"
"ENSG00000109332","0.0365038544377052",,,,3,"0.0365038544377052"
"ENSG00000260735","0.0365038544377052",,,,3,"0.0365038544377052"
"ENSG00000084234",,"0.0365666500547412",,,3,"0.0365666500547412"
"ENSG00000213903",,"0.0365666500547412",,,3,"0.0365666500547412"
"ENSG00000237586","0.0366520272629033",,,,3,"0.0366520272629033"
"ENSG00000247626","0.0366520272629033",,,,3,"0.0366520272629033"
"ENSG00000188089","0.0366558251288296",,,,3,"0.0366558251288296"
"ENSG00000170439",,"0.0366983070779546",,,3,"0.0366983070779546"
"ENSG00000271856",,"0.0367080683688081",,,3,"0.0367080683688081"
"ENSG00000263639",,"0.0367927278854234",,,3,"0.0367927278854234"
"ENSG00000064763",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000111732",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000113368",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000119630",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000151834",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000159403",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000165914",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000166902",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000167207",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000171551",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000174946",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000197157",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000206073",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000273247",,"0.0367943853976717",,,3,"0.0367943853976717"
"ENSG00000135698",,"0.0369859683350445",,,3,"0.0369859683350445"
"ENSG00000231648",,"0.0369859683350445",,,3,"0.0369859683350445"
"ENSG00000077458","0.0370518219779739",,,,3,"0.0370518219779739"
"ENSG00000100554","0.00370867311611326",,,,3,"0.00370867311611326"
"ENSG00000278845","0.0371258875426664",,,,3,"0.0371258875426664"
"ENSG00000103319",,,"0.00372405229641883",,3,"0.00372405229641883"
"ENSG00000119523","0.0372603932131395",,,,3,"0.0372603932131395"
"ENSG00000129159",,"0.0372681098436524",,,3,"0.0372681098436524"
"ENSG00000175773",,"0.0372681098436524",,,3,"0.0372681098436524"
"ENSG00000188641",,"0.0372681098436524",,,3,"0.0372681098436524"
"ENSG00000159588","0.0373783299874937",,,,3,"0.0373783299874937"
"ENSG00000100813",,"0.00373947630391292",,,3,"0.00373947630391292"
"ENSG00000101844","0.0374698215195184",,,,3,"0.0374698215195184"
"ENSG00000205629","0.0375098003569482",,,,3,"0.0375098003569482"
"ENSG00000174226",,"0.0375116393793993",,,3,"0.0375116393793993"
"ENSG00000254682",,"0.0375116393793993",,,3,"0.0375116393793993"
"ENSG00000254872",,"0.0375116393793993",,,3,"0.0375116393793993"
"ENSG00000196116","0.0375760116772598",,,,3,"0.0375760116772598"
"ENSG00000227355","0.0375760116772598",,,,3,"0.0375760116772598"
"ENSG00000151365",,"0.0376663508474857",,,3,"0.0376663508474857"
"ENSG00000285852",,"0.0376663508474857",,,3,"0.0376663508474857"
"ENSG00000267136","0.0378234078967005",,,,3,"0.0378234078967005"
"ENSG00000185800",,,"0.0378540861347933",,3,"0.0378540861347933"
"ENSG00000267416",,,"0.0378540861347933",,3,"0.0378540861347933"
"ENSG00000186567","0.0379497660308282",,,,3,"0.0379497660308282"
"ENSG00000143624","0.0379557855920758",,,,3,"0.0379557855920758"
"ENSG00000169499","0.00379683168651004",,,,3,"0.00379683168651004"
"ENSG00000130741","0.0379782540164379",,,,3,"0.0379782540164379"
"ENSG00000064012",,"0.0382366480733542",,,3,"0.0382366480733542"
"ENSG00000105894",,"0.0382366480733542",,,3,"0.0382366480733542"
"ENSG00000141279",,"0.0382366480733542",,,3,"0.0382366480733542"
"ENSG00000151006",,"0.0382366480733542",,,3,"0.0382366480733542"
"ENSG00000183066",,"0.0382366480733542",,,3,"0.0382366480733542"
"ENSG00000100412",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000113300",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000132640",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000136021",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000139648",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000149177",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000160188",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000165548",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000169032",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000205420",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000244040",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000288611",,"0.0383358810992573",,,3,"0.0383358810992573"
"ENSG00000177575",,"0.0385411960856313",,,3,"0.0385411960856313"
"ENSG00000071054",,"0.0385504055668205",,,3,"0.0385504055668205"
